neighbourhood_group,room_type,price,availability_365
Brooklyn,Entire home_apt,135,76
Brooklyn,Entire home_apt,325,0
Manhattan,Private room,95,18
Manhattan,Entire home_apt,117,298
Manhattan,Private room,59,99
Manhattan,Shared room,85,171
Queens,Private room,55,333
Brooklyn,Private room,80,13
Brooklyn,Entire home_apt,115,0
Manhattan,Private room,78,49
Manhattan,Private room,150,357
Brooklyn,Entire home_apt,195,0
Brooklyn,Entire home_apt,142,157
Manhattan,Entire home_apt,150,0
Bronx,Shared room,55,365
Brooklyn,Entire home_apt,97,282
Brooklyn,Entire home_apt,70,211
Manhattan,Shared room,70,262
Manhattan,Private room,155,88
Brooklyn,Entire home_apt,68,0
Manhattan,Private room,68,129
Brooklyn,Entire home_apt,150,53
Brooklyn,Entire home_apt,150,0
Manhattan,Entire home_apt,150,0
Manhattan,Private room,100,365
Manhattan,Entire home_apt,110,331
Brooklyn,Entire home_apt,150,0
Brooklyn,Entire home_apt,160,24
Manhattan,Entire home_apt,218,304
Manhattan,Entire home_apt,430,14
Brooklyn,Private room,79,111
Manhattan,Entire home_apt,120,99
Brooklyn,Entire home_apt,200,15
Manhattan,Private room,120,0
Manhattan,Private room,250,365
Manhattan,Entire home_apt,200,0
Staten Island,Entire home_apt,75,0
Brooklyn,Entire home_apt,175,0
Brooklyn,Entire home_apt,76,333
Manhattan,Entire home_apt,75,0
Brooklyn,Entire home_apt,400,171
Queens,Private room,75,355
Manhattan,Entire home_apt,189,0
Queens,Private room,55,0
Brooklyn,Private room,80,0
Brooklyn,Private room,69,238
Manhattan,Private room,100,0
Queens,Entire home_apt,100,0
Manhattan,Entire home_apt,300,219
Manhattan,Private room,53,117
Manhattan,Entire home_apt,179,0
Brooklyn,Entire home_apt,100,0
Queens,Entire home_apt,130,170
Bronx,Entire home_apt,120,0
Brooklyn,Private room,150,16
Manhattan,Entire home_apt,105,265
Brooklyn,Entire home_apt,150,209
Manhattan,Entire home_apt,200,0
Manhattan,Private room,39,168
Manhattan,Entire home_apt,67,0
Manhattan,Entire home_apt,200,32
Brooklyn,Entire home_apt,129,336
Brooklyn,Private room,55,307
Queens,Private room,65,198
Manhattan,Entire home_apt,100,0
Manhattan,Private room,55,90
Manhattan,Entire home_apt,240,0
Manhattan,Entire home_apt,150,107
Manhattan,Entire home_apt,299,267
Queens,Entire home_apt,160,269
Manhattan,Private room,299,365
Brooklyn,Entire home_apt,99,0
Brooklyn,Entire home_apt,199,311
Manhattan,Private room,100,0
Manhattan,Private room,45,53
Bronx,Private room,44,70
Brooklyn,Entire home_apt,150,0
Brooklyn,Private room,100,0
Manhattan,Entire home_apt,185,0
Brooklyn,Entire home_apt,150,0
Manhattan,Entire home_apt,650,283
Brooklyn,Private room,100,0
Manhattan,Private room,111,317
Manhattan,Entire home_apt,99,139
Brooklyn,Private room,75,87
Manhattan,Entire home_apt,103,336
Queens,Entire home_apt,130,0
Manhattan,Entire home_apt,109,90
Brooklyn,Private room,95,0
Brooklyn,Entire home_apt,100,0
Brooklyn,Entire home_apt,155,59
Queens,Private room,60,118
Brooklyn,Entire home_apt,195,13
Queens,Entire home_apt,69,30
Manhattan,Private room,72,311
Brooklyn,Entire home_apt,300,224
Manhattan,Entire home_apt,119,339
Brooklyn,Private room,100,296
Brooklyn,Private room,199,363
Manhattan,Private room,75,126
Brooklyn,Private room,100,96
Manhattan,Entire home_apt,125,0
Queens,Entire home_apt,95,0
Brooklyn,Entire home_apt,295,151
Queens,Private room,149,365
Manhattan,Entire home_apt,150,0
Brooklyn,Entire home_apt,100,214
Brooklyn,Private room,45,0
Manhattan,Entire home_apt,385,180
Brooklyn,Entire home_apt,87,233
Manhattan,Entire home_apt,180,184
Queens,Private room,59,185
Staten Island,Private room,95,264
Manhattan,Entire home_apt,130,161
Brooklyn,Entire home_apt,120,254
Manhattan,Private room,113,41
Queens,Private room,60,309
Brooklyn,Private room,40,221
Manhattan,Entire home_apt,250,0
Brooklyn,Entire home_apt,150,0
Brooklyn,Entire home_apt,450,0
Brooklyn,Entire home_apt,149,0
Brooklyn,Entire home_apt,169,0
Brooklyn,Private room,105,93
Brooklyn,Private room,42,0
Manhattan,Entire home_apt,325,0
Manhattan,Entire home_apt,200,0
Brooklyn,Entire home_apt,160,279
Brooklyn,Private room,155,0
Brooklyn,Entire home_apt,151,308
Manhattan,Entire home_apt,200,0
Brooklyn,Private room,80,0
Queens,Entire home_apt,119,0
Brooklyn,Private room,5000,363
Brooklyn,Private room,45,99
Brooklyn,Entire home_apt,115,0
Brooklyn,Private room,65,269
Manhattan,Private room,87,89
Manhattan,Private room,110,21
Brooklyn,Private room,80,0
Manhattan,Entire home_apt,250,0
Brooklyn,Private room,63,290
Brooklyn,Entire home_apt,200,78
Brooklyn,Entire home_apt,185,0
Manhattan,Entire home_apt,250,9
Manhattan,Entire home_apt,130,187
Brooklyn,Entire home_apt,185,254
Brooklyn,Private room,75,0
Manhattan,Entire home_apt,240,52
Brooklyn,Private room,65,0
Manhattan,Entire home_apt,195,0
Manhattan,Entire home_apt,200,0
Manhattan,Private room,120,283
Brooklyn,Entire home_apt,180,197
Queens,Private room,53,189
Manhattan,Entire home_apt,200,0
Manhattan,Private room,100,0
Brooklyn,Entire home_apt,86,0
Manhattan,Entire home_apt,225,0
Queens,Private room,40,291
Manhattan,Entire home_apt,60,291
Queens,Private room,70,220
Queens,Private room,35,364
Manhattan,Entire home_apt,250,284
Brooklyn,Entire home_apt,4500,365
Brooklyn,Entire home_apt,8000,365
Manhattan,Entire home_apt,169,0
Queens,Entire home_apt,255,297
Manhattan,Entire home_apt,290,252
Manhattan,Entire home_apt,140,365
Manhattan,Entire home_apt,115,4
Brooklyn,Entire home_apt,299,346
Manhattan,Entire home_apt,160,0
Manhattan,Shared room,175,0
Manhattan,Private room,120,174
Brooklyn,Private room,179,365
Brooklyn,Private room,74,25
Manhattan,Private room,68,237
Manhattan,Private room,235,135
Brooklyn,Private room,100,0
Brooklyn,Entire home_apt,270,0
Brooklyn,Entire home_apt,200,0
Manhattan,Entire home_apt,161,0
Brooklyn,Private room,60,83
Manhattan,Entire home_apt,155,341
Manhattan,Private room,95,288
Manhattan,Entire home_apt,125,0
Manhattan,Entire home_apt,118,308
Manhattan,Private room,80,278
Brooklyn,Entire home_apt,210,0
Brooklyn,Entire home_apt,150,0
Brooklyn,Entire home_apt,135,296
Manhattan,Entire home_apt,118,326
Manhattan,Private room,110,113
Brooklyn,Private room,70,0
Brooklyn,Private room,43,220
Brooklyn,Entire home_apt,140,294
Manhattan,Entire home_apt,116,335
Brooklyn,Entire home_apt,159,317
Brooklyn,Entire home_apt,135,187
Manhattan,Private room,39,310
Brooklyn,Private room,59,54
Manhattan,Entire home_apt,600,0
Brooklyn,Private room,66,41
Manhattan,Entire home_apt,130,365
Brooklyn,Entire home_apt,100,237
Brooklyn,Private room,50,125
Manhattan,Private room,185,365
Brooklyn,Private room,54,0
Brooklyn,Entire home_apt,100,202
Manhattan,Entire home_apt,180,0
Brooklyn,Entire home_apt,115,78
Brooklyn,Entire home_apt,350,21
Brooklyn,Private room,32,319
Brooklyn,Entire home_apt,165,297
Manhattan,Entire home_apt,350,0
Brooklyn,Entire home_apt,795,14
Brooklyn,Entire home_apt,200,95
Brooklyn,Entire home_apt,175,107
Manhattan,Private room,50,188
Manhattan,Entire home_apt,190,0
Manhattan,Private room,110,182
Brooklyn,Entire home_apt,414,0
Brooklyn,Entire home_apt,135,0
Manhattan,Entire home_apt,150,365
Manhattan,Entire home_apt,93,97
Manhattan,Private room,70,0
Staten Island,Entire home_apt,175,39
Brooklyn,Entire home_apt,155,364
Brooklyn,Entire home_apt,129,337
Bronx,Private room,50,188
Brooklyn,Entire home_apt,499,31
Brooklyn,Shared room,80,90
Manhattan,Entire home_apt,115,342
Queens,Private room,47,0
Brooklyn,Private room,95,0
Manhattan,Entire home_apt,249,278
Manhattan,Entire home_apt,150,362
Manhattan,Private room,77,18
Manhattan,Entire home_apt,225,0
Brooklyn,Private room,70,67
Manhattan,Entire home_apt,100,311
Manhattan,Entire home_apt,87,365
Brooklyn,Entire home_apt,245,0
Manhattan,Entire home_apt,300,254
Manhattan,Private room,55,0
Manhattan,Entire home_apt,120,0
Manhattan,Private room,40,130
Manhattan,Private room,115,332
Manhattan,Entire home_apt,93,234
Manhattan,Private room,37,0
Brooklyn,Entire home_apt,240,0
Manhattan,Private room,130,0
Queens,Private room,70,32
Brooklyn,Entire home_apt,149,295
Brooklyn,Private room,100,14
Manhattan,Entire home_apt,200,0
Brooklyn,Entire home_apt,99,0
Manhattan,Entire home_apt,220,2
Manhattan,Entire home_apt,250,0
Manhattan,Entire home_apt,103,209
Manhattan,Entire home_apt,108,188
Manhattan,Private room,75,325
Brooklyn,Entire home_apt,78,0
Brooklyn,Private room,75,0
Brooklyn,Entire home_apt,152,12
Manhattan,Entire home_apt,150,3
Manhattan,Entire home_apt,320,269
Brooklyn,Entire home_apt,220,0
Brooklyn,Entire home_apt,99,287
Manhattan,Entire home_apt,950,34
Manhattan,Entire home_apt,120,0
Manhattan,Entire home_apt,100,0
Brooklyn,Entire home_apt,199,37
Manhattan,Private room,100,20
Brooklyn,Private room,75,25
Manhattan,Entire home_apt,84,365
Brooklyn,Entire home_apt,100,0
Brooklyn,Private room,75,292
Brooklyn,Private room,93,336
Brooklyn,Entire home_apt,140,315
Brooklyn,Entire home_apt,200,5
Brooklyn,Entire home_apt,200,157
Brooklyn,Entire home_apt,200,0
Queens,Entire home_apt,100,0
Manhattan,Private room,100,138
Manhattan,Entire home_apt,120,203
Brooklyn,Entire home_apt,109,0
Brooklyn,Private room,126,105
Manhattan,Private room,50,321
Manhattan,Entire home_apt,325,0
Manhattan,Entire home_apt,750,0
Brooklyn,Entire home_apt,135,0
Queens,Entire home_apt,52,0
Manhattan,Entire home_apt,124,38
Queens,Private room,59,158
Manhattan,Entire home_apt,215,0
Manhattan,Private room,240,93
Manhattan,Private room,150,87
Brooklyn,Private room,83,0
Queens,Entire home_apt,70,0
Manhattan,Entire home_apt,160,0
Manhattan,Shared room,200,180
Brooklyn,Entire home_apt,50,0
Manhattan,Entire home_apt,87,311
Manhattan,Private room,125,0
Manhattan,Entire home_apt,250,7
Brooklyn,Entire home_apt,162,282
Brooklyn,Entire home_apt,67,0
Manhattan,Private room,147,10
Brooklyn,Entire home_apt,149,254
Brooklyn,Entire home_apt,65,0
Brooklyn,Entire home_apt,250,0
Brooklyn,Private room,160,307
Manhattan,Entire home_apt,150,0
Manhattan,Private room,199,365
Brooklyn,Private room,64,282
Brooklyn,Private room,33,16
Manhattan,Private room,500,363
Brooklyn,Entire home_apt,150,7
Manhattan,Private room,110,0
Brooklyn,Entire home_apt,145,218
Brooklyn,Private room,40,0
Brooklyn,Private room,95,0
Brooklyn,Entire home_apt,185,0
Brooklyn,Entire home_apt,500,365
Manhattan,Entire home_apt,115,0
Staten Island,Entire home_apt,195,204
Brooklyn,Entire home_apt,105,221
Brooklyn,Entire home_apt,67,26
Brooklyn,Entire home_apt,75,0
Manhattan,Private room,100,0
Brooklyn,Entire home_apt,125,188
Brooklyn,Entire home_apt,350,0
Brooklyn,Entire home_apt,150,0
Queens,Entire home_apt,200,188
Brooklyn,Entire home_apt,270,12
Brooklyn,Entire home_apt,184,0
Brooklyn,Entire home_apt,275,34
Manhattan,Entire home_apt,171,0
Brooklyn,Entire home_apt,425,0
Manhattan,Entire home_apt,200,0
Brooklyn,Entire home_apt,165,0
Brooklyn,Private room,85,363
Brooklyn,Entire home_apt,170,44
Brooklyn,Private room,70,142
Brooklyn,Private room,125,7
Manhattan,Entire home_apt,275,323
Brooklyn,Private room,120,162
Manhattan,Entire home_apt,429,0
Brooklyn,Entire home_apt,225,0
Queens,Entire home_apt,119,214
Manhattan,Entire home_apt,175,0
Brooklyn,Entire home_apt,155,363
Manhattan,Entire home_apt,100,0
Manhattan,Private room,70,209
Bronx,Entire home_apt,95,358
Brooklyn,Entire home_apt,450,13
Brooklyn,Entire home_apt,215,106
Brooklyn,Private room,60,0
Bronx,Private room,75,300
Brooklyn,Private room,99,11
Brooklyn,Entire home_apt,300,268
Manhattan,Entire home_apt,175,339
Manhattan,Entire home_apt,195,0
Queens,Private room,50,140
Manhattan,Entire home_apt,175,0
Brooklyn,Entire home_apt,120,56
Brooklyn,Private room,54,0
Manhattan,Entire home_apt,345,273
Brooklyn,Entire home_apt,225,275
Brooklyn,Entire home_apt,151,54
Brooklyn,Entire home_apt,110,179
Manhattan,Entire home_apt,280,0
Brooklyn,Private room,99,125
Brooklyn,Entire home_apt,350,0
Brooklyn,Private room,70,0
Manhattan,Entire home_apt,120,197
Manhattan,Private room,89,177
Brooklyn,Private room,120,365
Manhattan,Private room,85,80
Manhattan,Entire home_apt,220,0
Manhattan,Private room,125,309
Manhattan,Entire home_apt,189,0
Brooklyn,Private room,100,0
Manhattan,Private room,81,0
Manhattan,Shared room,45,15
Brooklyn,Private room,150,0
Manhattan,Private room,62,35
Brooklyn,Entire home_apt,330,351
Manhattan,Private room,80,0
Manhattan,Shared room,65,0
Manhattan,Private room,125,43
Brooklyn,Entire home_apt,165,264
Manhattan,Private room,90,0
Brooklyn,Entire home_apt,120,9
Brooklyn,Entire home_apt,250,0
Brooklyn,Entire home_apt,115,0
Brooklyn,Private room,55,249
Manhattan,Entire home_apt,200,365
Manhattan,Entire home_apt,149,0
Brooklyn,Entire home_apt,55,64
Brooklyn,Entire home_apt,400,1
Brooklyn,Entire home_apt,200,0
Brooklyn,Entire home_apt,111,0
Brooklyn,Entire home_apt,175,0
Manhattan,Entire home_apt,150,0
Manhattan,Private room,52,17
Brooklyn,Entire home_apt,88,101
Brooklyn,Entire home_apt,425,321
Manhattan,Entire home_apt,175,0
Brooklyn,Entire home_apt,270,0
Brooklyn,Private room,180,0
Brooklyn,Private room,55,0
Brooklyn,Private room,105,285
Brooklyn,Entire home_apt,265,0
Manhattan,Private room,60,188
Manhattan,Private room,45,0
Manhattan,Private room,89,0
Manhattan,Entire home_apt,200,6
Brooklyn,Entire home_apt,149,0
Manhattan,Private room,80,227
Brooklyn,Entire home_apt,125,122
Manhattan,Entire home_apt,78,0
Brooklyn,Private room,65,80
Brooklyn,Entire home_apt,350,0
Brooklyn,Entire home_apt,115,0
Manhattan,Entire home_apt,289,0
Brooklyn,Entire home_apt,158,365
Manhattan,Private room,50,0
Manhattan,Entire home_apt,234,0
Brooklyn,Private room,50,0
Manhattan,Private room,69,0
Manhattan,Entire home_apt,135,0
Brooklyn,Private room,89,359
Manhattan,Entire home_apt,16,9
Brooklyn,Entire home_apt,300,254
Manhattan,Entire home_apt,250,234
Brooklyn,Entire home_apt,70,0
Manhattan,Private room,140,316
Manhattan,Entire home_apt,175,0
Brooklyn,Entire home_apt,160,0
Manhattan,Entire home_apt,200,0
Brooklyn,Private room,57,0
Manhattan,Private room,90,53
Queens,Private room,89,1
Brooklyn,Entire home_apt,90,13
Manhattan,Entire home_apt,200,312
Brooklyn,Entire home_apt,100,30
Brooklyn,Entire home_apt,68,334
Manhattan,Entire home_apt,170,0
Brooklyn,Private room,40,318
Manhattan,Entire home_apt,500,341
Brooklyn,Entire home_apt,145,0
Brooklyn,Entire home_apt,250,6
Manhattan,Entire home_apt,288,222
Brooklyn,Entire home_apt,245,0
Manhattan,Entire home_apt,80,0
Brooklyn,Entire home_apt,125,0
Manhattan,Entire home_apt,166,48
Manhattan,Entire home_apt,330,260
Brooklyn,Private room,60,0
Manhattan,Private room,130,0
Brooklyn,Private room,45,0
Manhattan,Entire home_apt,165,75
Manhattan,Private room,155,172
Manhattan,Entire home_apt,119,0
Brooklyn,Entire home_apt,158,0
Brooklyn,Entire home_apt,169,91
Brooklyn,Entire home_apt,139,231
Manhattan,Entire home_apt,125,0
Queens,Private room,70,353
Brooklyn,Private room,135,162
Manhattan,Entire home_apt,99,170
Brooklyn,Entire home_apt,175,0
Brooklyn,Entire home_apt,150,0
Manhattan,Entire home_apt,250,173
Queens,Private room,100,0
Brooklyn,Private room,100,10
Brooklyn,Entire home_apt,128,32
Brooklyn,Entire home_apt,121,7
Brooklyn,Entire home_apt,160,228
Manhattan,Private room,135,352
Manhattan,Entire home_apt,275,20
Manhattan,Entire home_apt,180,0
Manhattan,Entire home_apt,189,203
Queens,Entire home_apt,250,32
Brooklyn,Entire home_apt,99,235
Brooklyn,Entire home_apt,200,193
Manhattan,Entire home_apt,145,262
Manhattan,Private room,100,219
Manhattan,Entire home_apt,240,0
Brooklyn,Private room,90,0
Brooklyn,Entire home_apt,220,306
Brooklyn,Private room,100,240
Queens,Private room,59,359
Brooklyn,Entire home_apt,78,188
Bronx,Entire home_apt,75,253
Brooklyn,Private room,78,362
Manhattan,Entire home_apt,250,0
Brooklyn,Entire home_apt,150,0
Manhattan,Private room,44,0
Brooklyn,Private room,69,125
Brooklyn,Private room,65,5
Brooklyn,Entire home_apt,90,0
Brooklyn,Entire home_apt,125,0
Brooklyn,Entire home_apt,78,0
Manhattan,Entire home_apt,785,331
Queens,Entire home_apt,99,299
Queens,Private room,74,76
Manhattan,Entire home_apt,130,0
Queens,Entire home_apt,105,70
Manhattan,Entire home_apt,145,0
Manhattan,Private room,90,40
Brooklyn,Entire home_apt,215,0
Manhattan,Entire home_apt,100,0
Brooklyn,Entire home_apt,92,281
Manhattan,Entire home_apt,185,2
Brooklyn,Entire home_apt,1000,0
Manhattan,Entire home_apt,160,1
Manhattan,Entire home_apt,93,329
Manhattan,Entire home_apt,300,291
Brooklyn,Private room,75,0
Manhattan,Entire home_apt,370,365
Manhattan,Entire home_apt,425,0
Brooklyn,Entire home_apt,200,282
Manhattan,Private room,125,348
Manhattan,Entire home_apt,179,0
Brooklyn,Private room,46,346
Brooklyn,Entire home_apt,150,86
Brooklyn,Private room,52,0
Manhattan,Private room,80,351
Brooklyn,Entire home_apt,120,0
Brooklyn,Entire home_apt,300,363
Brooklyn,Private room,110,189
Brooklyn,Entire home_apt,200,0
Brooklyn,Entire home_apt,75,0
Manhattan,Entire home_apt,200,25
Manhattan,Entire home_apt,300,0
Manhattan,Private room,22,0
Brooklyn,Entire home_apt,129,157
Manhattan,Entire home_apt,125,0
Brooklyn,Private room,150,299
Manhattan,Entire home_apt,185,31
Brooklyn,Entire home_apt,158,0
Brooklyn,Private room,30,0
Brooklyn,Entire home_apt,316,6
Brooklyn,Entire home_apt,175,0
Queens,Entire home_apt,97,0
Manhattan,Entire home_apt,175,347
Brooklyn,Shared room,60,0
Brooklyn,Private room,72,83
Brooklyn,Entire home_apt,175,0
Manhattan,Entire home_apt,225,0
Brooklyn,Entire home_apt,85,0
Manhattan,Entire home_apt,150,188
Brooklyn,Entire home_apt,225,179
Manhattan,Private room,400,0
Brooklyn,Private room,125,0
Brooklyn,Entire home_apt,200,260
Manhattan,Entire home_apt,88,0
Brooklyn,Private room,250,0
Manhattan,Entire home_apt,300,0
Queens,Entire home_apt,89,222
Manhattan,Entire home_apt,165,0
Manhattan,Private room,84,0
Brooklyn,Entire home_apt,285,110
Brooklyn,Entire home_apt,150,0
Brooklyn,Private room,70,68
Manhattan,Entire home_apt,300,365
Brooklyn,Entire home_apt,220,186
Manhattan,Entire home_apt,149,77
Manhattan,Entire home_apt,249,0
Brooklyn,Entire home_apt,90,0
Manhattan,Private room,69,270
Brooklyn,Entire home_apt,120,3
Manhattan,Private room,69,271
Manhattan,Private room,54,187
Manhattan,Private room,50,177
Manhattan,Private room,51,258
Manhattan,Private room,99,0
Manhattan,Entire home_apt,290,0
Brooklyn,Entire home_apt,240,363
Bronx,Private room,49,240
Brooklyn,Entire home_apt,115,0
Brooklyn,Private room,78,0
Brooklyn,Entire home_apt,125,270
Manhattan,Entire home_apt,135,13
Manhattan,Private room,110,0
Manhattan,Entire home_apt,205,0
Manhattan,Entire home_apt,95,245
Brooklyn,Private room,55,15
Brooklyn,Private room,47,310
Manhattan,Private room,39,12
Manhattan,Entire home_apt,349,358
Brooklyn,Entire home_apt,250,170
Manhattan,Entire home_apt,290,41
Brooklyn,Private room,85,21
Brooklyn,Entire home_apt,170,0
Manhattan,Entire home_apt,146,0
Queens,Entire home_apt,99,0
Brooklyn,Entire home_apt,150,18
Brooklyn,Entire home_apt,240,77
Brooklyn,Entire home_apt,500,365
Queens,Private room,48,113
Brooklyn,Entire home_apt,129,0
Manhattan,Entire home_apt,750,365
Manhattan,Entire home_apt,180,87
Queens,Private room,70,342
Manhattan,Entire home_apt,150,0
Brooklyn,Entire home_apt,240,0
Brooklyn,Entire home_apt,100,0
Manhattan,Entire home_apt,122,339
Manhattan,Entire home_apt,400,0
Bronx,Private room,47,172
Brooklyn,Entire home_apt,140,4
Bronx,Private room,55,16
Brooklyn,Entire home_apt,110,0
Brooklyn,Entire home_apt,175,365
Manhattan,Entire home_apt,80,0
Manhattan,Entire home_apt,150,0
Manhattan,Entire home_apt,200,0
Brooklyn,Private room,50,0
Manhattan,Private room,99,82
Manhattan,Private room,60,0
Manhattan,Entire home_apt,225,49
Manhattan,Entire home_apt,175,0
Brooklyn,Private room,60,313
Manhattan,Entire home_apt,255,341
Brooklyn,Private room,75,0
Brooklyn,Entire home_apt,190,0
Brooklyn,Entire home_apt,495,198
Brooklyn,Entire home_apt,98,188
Brooklyn,Private room,150,364
Brooklyn,Entire home_apt,250,0
Manhattan,Entire home_apt,215,47
Brooklyn,Entire home_apt,200,0
Brooklyn,Entire home_apt,100,0
Brooklyn,Entire home_apt,200,0
Manhattan,Entire home_apt,200,0
Manhattan,Entire home_apt,110,0
Manhattan,Entire home_apt,115,211
Manhattan,Private room,75,0
Manhattan,Entire home_apt,289,0
Manhattan,Private room,95,263
Manhattan,Entire home_apt,197,8
Manhattan,Entire home_apt,150,0
Queens,Entire home_apt,225,0
Brooklyn,Entire home_apt,375,252
Staten Island,Private room,56,258
Manhattan,Entire home_apt,225,266
Manhattan,Entire home_apt,70,0
Manhattan,Entire home_apt,264,281
Manhattan,Entire home_apt,199,365
Brooklyn,Entire home_apt,149,28
Brooklyn,Entire home_apt,142,306
Manhattan,Entire home_apt,299,324
Brooklyn,Entire home_apt,50,0
Brooklyn,Entire home_apt,160,269
Brooklyn,Entire home_apt,127,2
Brooklyn,Entire home_apt,110,0
Manhattan,Private room,69,5
Brooklyn,Entire home_apt,175,365
Manhattan,Entire home_apt,179,0
Brooklyn,Entire home_apt,144,85
Manhattan,Entire home_apt,175,0
Manhattan,Entire home_apt,150,0
Brooklyn,Entire home_apt,109,127
Manhattan,Entire home_apt,350,0
Brooklyn,Entire home_apt,75,0
Manhattan,Entire home_apt,135,0
Queens,Private room,39,352
Queens,Private room,38,358
Brooklyn,Entire home_apt,195,251
Manhattan,Entire home_apt,146,223
Brooklyn,Entire home_apt,318,268
Manhattan,Entire home_apt,184,0
Brooklyn,Entire home_apt,140,283
Manhattan,Private room,85,342
Manhattan,Entire home_apt,170,0
Queens,Private room,100,365
Manhattan,Entire home_apt,350,196
Manhattan,Entire home_apt,199,0
Brooklyn,Private room,77,188
Manhattan,Private room,80,0
Bronx,Private room,79,0
Brooklyn,Private room,550,358
Brooklyn,Entire home_apt,155,17
Manhattan,Entire home_apt,275,358
Brooklyn,Entire home_apt,119,0
Brooklyn,Entire home_apt,85,0
Manhattan,Private room,84,0
Manhattan,Private room,90,58
Brooklyn,Entire home_apt,135,191
Brooklyn,Private room,90,125
Brooklyn,Entire home_apt,150,0
Brooklyn,Private room,38,253
Manhattan,Entire home_apt,87,343
Brooklyn,Entire home_apt,210,0
Manhattan,Private room,80,6
Brooklyn,Entire home_apt,250,323
Manhattan,Entire home_apt,175,0
Brooklyn,Private room,65,82
Manhattan,Entire home_apt,140,0
Manhattan,Entire home_apt,129,64
Manhattan,Entire home_apt,159,87
Queens,Private room,125,365
Manhattan,Entire home_apt,249,332
Brooklyn,Entire home_apt,151,333
Brooklyn,Private room,79,308
Brooklyn,Entire home_apt,125,0
Manhattan,Entire home_apt,135,257
Manhattan,Entire home_apt,151,46
Manhattan,Entire home_apt,600,282
Brooklyn,Entire home_apt,59,318
Manhattan,Entire home_apt,273,91
Manhattan,Private room,70,80
Manhattan,Private room,95,0
Brooklyn,Entire home_apt,399,269
Brooklyn,Private room,96,355
Manhattan,Shared room,110,362
Manhattan,Private room,110,0
Manhattan,Private room,69,132
Brooklyn,Private room,85,264
Manhattan,Entire home_apt,150,0
Manhattan,Entire home_apt,170,0
Manhattan,Entire home_apt,125,0
Manhattan,Private room,130,0
Manhattan,Entire home_apt,145,3
Brooklyn,Entire home_apt,500,282
Manhattan,Private room,95,0
Brooklyn,Entire home_apt,150,0
Queens,Entire home_apt,150,364
Brooklyn,Private room,56,0
Brooklyn,Private room,60,0
Brooklyn,Entire home_apt,85,310
Manhattan,Private room,80,0
Manhattan,Private room,100,0
Brooklyn,Private room,54,0
Brooklyn,Entire home_apt,113,191
Brooklyn,Entire home_apt,200,303
Manhattan,Private room,75,0
Manhattan,Shared room,200,365
Brooklyn,Entire home_apt,110,220
Brooklyn,Entire home_apt,500,365
Manhattan,Entire home_apt,180,0
Brooklyn,Entire home_apt,200,336
Manhattan,Private room,69,90
Manhattan,Entire home_apt,200,329
Brooklyn,Entire home_apt,140,14
Brooklyn,Private room,45,281
Brooklyn,Private room,35,0
Brooklyn,Private room,80,0
Brooklyn,Entire home_apt,150,0
Manhattan,Entire home_apt,70,308
Manhattan,Private room,200,304
Manhattan,Entire home_apt,308,0
Manhattan,Entire home_apt,270,0
Brooklyn,Entire home_apt,150,0
Manhattan,Entire home_apt,365,28
Brooklyn,Private room,99,248
Manhattan,Entire home_apt,175,255
Manhattan,Entire home_apt,220,4
Manhattan,Private room,80,314
Brooklyn,Entire home_apt,230,0
Manhattan,Private room,60,183
Manhattan,Private room,120,0
Brooklyn,Private room,45,31
Manhattan,Entire home_apt,100,12
Manhattan,Entire home_apt,138,0
Brooklyn,Entire home_apt,100,0
Manhattan,Entire home_apt,230,0
Manhattan,Entire home_apt,225,0
Brooklyn,Entire home_apt,120,156
Brooklyn,Private room,99,365
Manhattan,Entire home_apt,150,0
Brooklyn,Entire home_apt,122,235
Brooklyn,Entire home_apt,150,0
Manhattan,Entire home_apt,140,186
Manhattan,Entire home_apt,150,0
Brooklyn,Private room,38,309
Manhattan,Entire home_apt,200,50
Brooklyn,Private room,50,0
Manhattan,Private room,45,346
Brooklyn,Private room,90,0
Queens,Private room,85,0
Manhattan,Private room,85,0
Queens,Entire home_apt,108,328
Brooklyn,Entire home_apt,129,204
Brooklyn,Entire home_apt,275,290
Manhattan,Entire home_apt,148,329
Manhattan,Entire home_apt,250,365
Manhattan,Entire home_apt,160,0
Brooklyn,Entire home_apt,130,309
Brooklyn,Private room,180,60
Manhattan,Private room,50,0
Manhattan,Private room,145,257
Manhattan,Private room,94,0
Manhattan,Entire home_apt,180,0
Manhattan,Private room,80,0
Brooklyn,Entire home_apt,97,0
Brooklyn,Entire home_apt,90,179
Brooklyn,Entire home_apt,70,1
Queens,Entire home_apt,120,0
Manhattan,Entire home_apt,120,261
Manhattan,Entire home_apt,165,0
Manhattan,Private room,59,109
Brooklyn,Private room,91,90
Queens,Entire home_apt,184,143
Brooklyn,Private room,45,0
Manhattan,Private room,150,344
Manhattan,Entire home_apt,139,0
Manhattan,Private room,65,290
Manhattan,Private room,65,157
Brooklyn,Private room,150,0
Queens,Entire home_apt,115,0
Manhattan,Entire home_apt,299,0
Brooklyn,Entire home_apt,80,0
Brooklyn,Private room,80,364
Brooklyn,Entire home_apt,100,0
Manhattan,Private room,135,0
Brooklyn,Private room,80,227
Brooklyn,Private room,69,0
Manhattan,Private room,75,352
Brooklyn,Entire home_apt,94,0
Brooklyn,Entire home_apt,192,8
Manhattan,Private room,50,350
Manhattan,Private room,58,331
